utility_id,name,state,rate,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,summer_starting_month,summer_ending_month,nox_rate,so2_rate,co2_rate,mercury_rate,percent_coal,percent_oil,percent_gas,percent_nuclear,percent_hydro,percent_biomass,percent_wind,percent_solar,percent_geothermal,percent_other,percent_unknown
562,Amicalola Electric Member Corp,GA,0.101561829,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
49853,Amigo Energy,TX,0.156407097,0.100375544,0.090694833,0.086488877,0.075166274,0.064494772,0.076282965,0.094823226,0.092298987,0.072334111,0.070498373,0.077530106,0.099011931,5,10,0.00336825,0.00661975,1.74530625,0.00000003565,71.57695,1.30085,2.799775,16.413525,5.549425,1.56995,0.6666,0,0,0.10585,0.10585
588,Anadarko Public Works Auth,OK,0.104574778,0.082688799,0.074993536,0.070941782,0.061496141,0.0694711,0.095891088,0.117946449,0.125705556,0.081853765,0.06494018,0.066790836,0.087280769,5,10,0.002850111111111,0.0045505,1.75063744444444,0.000000033061111,61.7864,0.845477778,24.53283333,7.905622222,2.807372222,1.258494444,0.521072222,0,0,0.255277778,0.255277778
599,Anchorage Municipality of,AK,0.077180855,0.109385855,0.096745472,0.083578969,0.083848774,0.071592864,0.073562443,0.069164615,0.067255742,0.077204816,0.074830528,0.093730397,0.099099524,5,10,0.002993,0.001329,1.257188,0.0000000017,12.3253,7.2819,67.9987,0,12.3868,0.0074,0,0,0,0,0
653,Andreanof Electric Corp,AK,0.579652997,0.104110193,0.096810594,0.089224828,0.084698742,0.074259216,0.071794615,0.067922459,0.070088594,0.07394128,0.076807914,0.089580902,0.100760663,5,10,0.002993,0.001329,1.257188,0.0000000017,12.3253,7.2819,67.9987,0,12.3868,0.0074,0,0,0,0,0
4959,Aniak Light & Power Co Inc,AK,0.478028891,0.104110193,0.096810594,0.089224828,0.084698742,0.074259216,0.071794615,0.067922459,0.070088594,0.07394128,0.076807914,0.089580902,0.100760663,5,10,0.002993,0.001329,1.257188,0.0000000017,12.3253,7.2819,67.9987,0,12.3868,0.0074,0,0,0,0,0
689,Anoka Electric Coop,MN,0.084518876,0.088776122,0.07561431,0.078144312,0.063560547,0.070110745,0.088805124,0.128906427,0.106161144,0.067182391,0.068902042,0.071107051,0.092729784,5,10,0.003814,0.005877,1.81381,0.0000000433,74.6306,0.5747,1.8032,16.0375,4.7181,0.8355,1.264,0,0,0.1363,0.1363
694,Anza Electric Coop Inc,CA,0.16633935,0.096163648,0.0861542,0.085470029,0.074253147,0.069881655,0.079667222,0.092471612,0.097593107,0.08187432,0.069971034,0.073819164,0.092680863,5,10,0.001954776119403,0.001396208955224,1.21806479104478,0.000000014301493,42.91960448,0.247558209,19.65172239,8.301813433,26.17973582,0.830508955,0.595576119,0.024722388,1.066658209,0.151310448,0.151310448
50153,"APN Starfirst, L.P.",PA,0.082839348,0.100375544,0.090694833,0.086488877,0.075166274,0.064494772,0.076282965,0.094823226,0.092298987,0.072334111,0.070498373,0.077530106,0.099011931,5,10,0.00336825,0.00661975,1.74530625,0.00000003565,71.57695,1.30085,2.799775,16.413525,5.549425,1.56995,0.6666,0,0,0.10585,0.10585
727,Appalachian Electric Coop,TN,0.084674688,0.113088957,0.100464718,0.089204997,0.071409264,0.054823362,0.07094357,0.090072883,0.097126695,0.08323075,0.059473797,0.073338804,0.096822202,5,10,0.002591,0.007225,1.494886,0.0000000253,65.7568,1.6783,2.4349,20.4166,8.8322,0.8654,0.0017,0,0,0.0142,0.0142
733,Appalachian Power Co,OH,0.050751942,0.120382525,0.099630531,0.093828358,0.062690139,0.056614944,0.06850654,0.086300157,0.094083617,0.060984148,0.062085583,0.086833574,0.108059884,5,10,0.0026604,0.0085516,1.5842474,0.00000003754,69.77975,0.75838,7.20283,19.37884,1.25787,1.06599,0.02933,0,0,0.48329,0.48329
708,APS Energy Services,AZ,0.078260746,0.096163648,0.0861542,0.085470029,0.074253147,0.069881655,0.079667222,0.092471612,0.097593107,0.08187432,0.069971034,0.073819164,0.092680863,5,10,0.001954776119403,0.001396208955224,1.21806479104478,0.000000014301493,42.91960448,0.247558209,19.65172239,8.301813433,26.17973582,0.830508955,0.595576119,0.024722388,1.066658209,0.151310448,0.151310448
12698,Aquila Inc,MO,0.0746106,0.087266056,0.075252603,0.076898888,0.059544507,0.06314461,0.096378062,0.121348577,0.123387547,0.069256157,0.064446931,0.067727879,0.095348184,5,10,0.003983,0.006061,1.971417,0.0000000273,78.1172,1.3182,4.5872,15.234,0.1136,0.0003,0.5365,0,0,0.093,0.093
12698,Aquila Inc,MO,0.0746106,0.087266056,0.075252603,0.076898888,0.059544507,0.06314461,0.096378062,0.121348577,0.123387547,0.069256157,0.064446931,0.067727879,0.095348184,5,10,0.003983,0.006061,1.971417,0.0000000273,78.1172,1.3182,4.5872,15.234,0.1136,0.0003,0.5365,0,0,0.093,0.093
12698,Aquila Inc,MO,0.0746106,0.087266056,0.075252603,0.076898888,0.059544507,0.06314461,0.096378062,0.121348577,0.123387547,0.069256157,0.064446931,0.067727879,0.095348184,5,10,0.003983,0.006061,1.971417,0.0000000273,78.1172,1.3182,4.5872,15.234,0.1136,0.0003,0.5365,0,0,0.093,0.093
12698,Aquila Inc,MO,0.0746106,0.087266056,0.075252603,0.076898888,0.059544507,0.06314461,0.096378062,0.121348577,0.123387547,0.069256157,0.064446931,0.067727879,0.095348184,5,10,0.003983,0.006061,1.971417,0.0000000273,78.1172,1.3182,4.5872,15.234,0.1136,0.0003,0.5365,0,0,0.093,0.093
12698,Aquila Inc,MO,0.0746106,0.087266056,0.075252603,0.076898888,0.059544507,0.06314461,0.096378062,0.121348577,0.123387547,0.069256157,0.064446931,0.067727879,0.095348184,5,10,0.003983,0.006061,1.971417,0.0000000273,78.1172,1.3182,4.5872,15.234,0.1136,0.0003,0.5365,0,0,0.093,0.093
12698,Aquila Inc,MO,0.0746106,0.087266056,0.075252603,0.076898888,0.059544507,0.06314461,0.096378062,0.121348577,0.123387547,0.069256157,0.064446931,0.067727879,0.095348184,5,10,0.003983,0.006061,1.971417,0.0000000273,78.1172,1.3182,4.5872,15.234,0.1136,0.0003,0.5365,0,0,0.093,0.093
